Site	Street Number	Prefix	Street Name	Suffix	Site City	Site State	Site Zip5	Initial Meter Set Date
886838285	4972	N	MADERA	CIR	LITCHFIELD PARK	ARIZONA	85340	2/1/2012 12:00:00 AM
886902382	9439	 	RIVERSIDE	DR	PARKER	ARIZONA	85344	10/6/2011 12:00:00 AM
886933284	11201	N	EL MIRAGE	RD	EL MIRAGE	ARIZONA	85335	3/1/2011 12:00:00 AM
886952384	254	N	LEE	BLVD	PRESCOTT	ARIZONA	86303	4/3/2012 12:00:00 AM
887038284	12309	W	DALEY	CT	SUN CITY WEST	ARIZONA	85375	11/23/2010 12:00:00 AM
887211389	1900	W	30	ST	YUMA	ARIZONA	85364	11/16/2010 12:00:00 AM
887301389	123	 	BRADSHAW	DR	PRESCOTT	ARIZONA	86303	3/24/2011 12:00:00 AM
887356282	2750	S	PACIFIC	AVE	YUMA	ARIZONA	85365	7/26/2011 12:00:00 AM
887411388	1900	W	30	ST	YUMA	ARIZONA	85364	10/29/2010 12:00:00 AM
887511385	1900	W	30	ST	YUMA	ARIZONA	85364	11/9/2010 12:00:00 AM
887607282	11828	W	DONALD	DR	SUN CITY	ARIZONA	85373	2/15/2012 12:00:00 AM
887651389	73550	 	HIGHWAY 95	 	QUARTZSITE	ARIZONA	85346	12/16/2010 12:00:00 AM
887791382	3901	W	PIONEER	RD	PHOENIX	ARIZONA	85086	9/14/2011 12:00:00 AM
887832384	4021	W	HARPER	DR	PRESCOTT	ARIZONA	86305	12/7/2011 12:00:00 AM
887928289	1522	W	HORSETAIL	TRL	PHOENIX	ARIZONA	85085	3/24/2011 12:00:00 AM
888381388	6396	 	LEAR	LN	PRESCOTT	ARIZONA	86301	7/22/2011 12:00:00 AM
888387287	13722	N	150	LN	SURPRISE	ARIZONA	85379	4/14/2011 12:00:00 AM
888741382	5538	E	ROADRUNNER	RD	PARADISE VALLEY	ARIZONA	85253	12/14/2010 12:00:00 AM
888749285	2985	 	HIGHWAY 95	 	PARKER	ARIZONA	85344	5/17/2011 12:00:00 AM
889118284	17542	W	COLUMBINE	DR	SURPRISE	ARIZONA	85388	2/28/2012 12:00:00 AM
889127282	11620	E	36	ST	YUMA	ARIZONA	85367	4/6/2012 12:00:00 AM
889248283	14827	W	ALDEA	DR	LITCHFIELD PARK	ARIZONA	85340	1/30/2012 12:00:00 AM
889351384	165	 	FLAT ROCK RIDGE	 	FLAGSTAFF	ARIZONA	86001	11/23/2010 12:00:00 AM
889410380	5426	W	PARSONS	RD	PHOENIX	ARIZONA	85083	12/28/2010 12:00:00 AM
889441383	60555	 	HIGHWAY 60	 	SALOME	ARIZONA	85348	12/28/2010 12:00:00 AM
889458285	17963	W	SELLS	DR	GOODYEAR	ARIZONA	85395	10/18/2011 12:00:00 AM
889686287	20486	W	CANYON	DR	BUCKEYE	ARIZONA	85396	7/29/2011 12:00:00 AM
889704283	17914	W	UDALL	DR	SURPRISE	ARIZONA	85374	6/27/2011 12:00:00 AM
889928285	3759	E	ZACHARY	DR	PHOENIX	ARIZONA	85050	9/2/2011 12:00:00 AM
890068287	18255	W	DESERT TRUMPET	RD	GOODYEAR	ARIZONA	85338	12/21/2011 12:00:00 AM
890211389	1900	W	30	ST	YUMA	ARIZONA	85364	10/29/2010 12:00:00 AM
890287283	27200	N	93	AVE	PEORIA	ARIZONA	85383	12/10/2010 12:00:00 AM
890310389	5422	W	PARSONS	RD	PHOENIX	ARIZONA	85083	3/3/2011 12:00:00 AM
890417282	14398	W	ALMERIA	RD	GOODYEAR	ARIZONA	85395	11/14/2011 12:00:00 AM
890447285	1925	N	161	DR	GOODYEAR	ARIZONA	85395	3/16/2012 12:00:00 AM
890708287	16096	W	ASHLAND	AVE	GOODYEAR	ARIZONA	85395	6/9/2011 12:00:00 AM
890762387	39652	 	MCVAY	RD	SALOME	ARIZONA	85348	4/2/2012 12:00:00 AM
890851384	10117	E	CHIPPEWA	ST	HEREFORD	ARIZONA	85615	3/1/2011 12:00:00 AM
890869285	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	11/19/2010 12:00:00 AM
890877282	14937	W	GEORGIA	DR	SURPRISE	ARIZONA	85379	12/8/2011 12:00:00 AM
890886281	20402	W	CANYON	DR	BUCKEYE	ARIZONA	85396	3/21/2012 12:00:00 AM
890987286	12751	N	175	DR	SURPRISE	ARIZONA	85388	1/12/2011 12:00:00 AM
