"BldrId"	"SubCode"	"Sub"	"Active"	"MstrPlan"	"SubLocation"	"SubLocCity"	"SubLocZip"	"LotsSigned"	"LotsPaid"	"ContractDate"	"ExpDate"	"AddendumDate"	"AddendumLots"	"AmmendedDate"	"AmmendedLots"	"Rater"	"SolarCommunity"	"Parcel"	"SubComment"
"CEN01"	"CENSER1"	"Serenade at Desert Oasis"	1	"Desert Oasis"	"163 Avenue and Jomax"	"Goodyear"		28	9	1/1/08 0:00:00	1/1/10 0:00:00				0		0
"CEN01"	"CENSTA"	"INACTIVE-Oasis at Canyon Trails - Stargazer"	0		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	236	56	11/15/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0
"CEN01"	"CENSTA1"	"INACTIVE-Oasis at Canyon Trails - Stargazer"	0		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	209	83	1/1/08 0:00:00	1/1/10 0:00:00				0	"Energy Inspectors"	0
"PUL02"	"CENSTA2"	"INACTIVE-Stargazer"	0		"Cotton Ln & Van Buren"	"Goodyear"	"85338"	39	0	1/1/10 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"CHA01"	"CHATTE"	"Tranquil Trail Estates"	0		"Tranquil Trail & Happy Hollow Dr."	"Carefree"	"85377"	7	0	11/1/08 0:00:00	11/1/10 0:00:00				0	"EFL"	0
"CNB01"	"CNBGFR70"	"Grey Fox Ridge"	1		"Main & Grey Fox Ridge"	"Cottonwood"	"86326"	12	5	5/1/10 0:00:00	12/31/11 0:00:00				0	"E3"	0	"NA"	" "
"COL01"	"COLRIV"	"INACTIVE-Riverstone Estates"	0		"78 Avenue and Deer Valley Road"	"Peoria"	"85382"	101	57	7/1/06 0:00:00	1/1/10 0:00:00				0	"EFL"	0
"CON01"	"CONMEA"	"INACTIVE-The Meadows at Desert Sky Ranch"	0	"Desert Sky Ranch"	"Korsten and Schulltz Road"	"Casa Grande"	"85222"	83	0	11/20/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0		"INACTIVE"
"COP01"	"COPCUS"	"Custom Homes"	1		"TBD"	"NEW RIVER"		5	3	9/1/08 0:00:00	9/1/10 0:00:00				0	"E3"	0
"BEA01"	"CORPER70SRS"	"Cortessa Peralta"	1		"Olive & Citrus"	"Waddell"	"85355"	49	6	10/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	1	"NA"	" "
"BEA01"	"CORPERSRS"	"Cortessa - Peralta"	0		"Olive & Citrus"	"Waddell"	"85355"	22	0	10/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"BEA01"	"CORVE70SRS"	"Cortessa Verona"	1		"Olive & Citrus"	"Waddell"	"85355"	41	3	10/1/10 0:00:00	12/31/11 0:00:00			2/1/11 0:00:00	0	"Energy Inspectors"	1	"NA"	" "
"BEA01"	"CORVERSRS"	"Cortessa - Verona"	0		"Olive & Citrus"	"Waddell"	"85355"	17	0	10/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"COU01"	"COUCOU"	"INACTIVE-Countrywalk Estates"	0		"Pinal&Hopi"	"Casa Grande"	"85222"	67	11	7/1/07 0:00:00	7/1/09 0:00:00				0	"Energy Inspectors"	0		"INACTIVE"
"COU01"	"COUTHU"	"INACTIVE-Thunderbird at Tammarron"	0		"Cottonwood&Arizola"	"Casa Grande"	"85222"	45	0	7/1/07 0:00:00	7/1/09 0:00:00				0	"Energy Inspectors"	0		"INACTIVE"
