"BldrId"	"SubCode"	"LotNo"	"SiteId"	"SolarReady"	"SolarType"	"LotStatus"	"PlanNo"	"AddrNo"	"AddrDir"	"AddrName"	"AddrSufx"	"LtCity"	"LtState"	"LtZip"	"CkReqDate"	"PdDate"	"AmtPd"	"AmtPd_SR"	"H2OPV_Pd"	"PdDate_SR"	"InitialMeterSet"	"ComplianceDate"	"CkNumb"	"Dev"	"AppendDate"	"LotRecno"	"Comments"
"PUL02"	"DWCLAS70SR"	16416.00	9859287	"Y"		"Paid"	"50151"	"21500"	"N"	"262nd"	"Ln"	"Buckeye"	"AZ"	"85326"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00	$100.00	$0.00		1/26/12 0:00:00	2/21/12 0:00:00	32050584	"Sun City Festival  Classics"	3/26/12 0:00:00	31214
"PUL02"	"DWCLAS70SR"	16316.00	9269283	"Y"		"Paid"	"50151"	"21516"	"N"	"262nd"	"Ln"	"Buckeye"	"AZ"	"85326"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00	$100.00	$0.00		1/31/12 0:00:00	2/23/12 0:00:00	32050584	"Sun City Festival  Classics"	3/26/12 0:00:00	31215
"KHOV1"	"KHVEBS70"	40.00	319228280	"N"		"Paid"	"51"	"12733"	"W"	"Calle De Pompas"		"Peoria"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/28/11 0:00:00	2/3/12 0:00:00	32050573	"Estates at Blackstone"	3/26/12 0:00:00	31216
"KHOV1"	"KHVEBS70"	25.00	120428287	"N"		"Paid"	"58"	"12754"	"W"	"Calle De Pompas"		"Peoria"	"AZ"	"85387"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/18/11 0:00:00	12/23/11 0:00:00	32050573	"Estates at Blackstone"	3/26/12 0:00:00	31217
"ROB01"	"ROBPEB70SR"	0.00	649266283	"Y"		"Paid"		"16448"	"W"	"Holly"	"St"	"Goodyear"	"AZ"	"85395"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00	$100.00	$0.00		2/1/11 0:00:00	2/16/11 0:00:00	32050578	"PebbleCreek"	3/26/12 0:00:00	31218
"ROB01"	"ROBPEB70SR"	0.00	522317287			"Paid"		"16586"	"W"	"Holly"	"St"	"Goodyear"	"AZ"	"85395"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		5/11/11 0:00:00	6/30/10 0:00:00	32050578	"PebbleCreek"	3/26/12 0:00:00	31219
"ROB01"	"ROBPEB70SR"	0.00	899830386			"Paid"		"16743"	"W"	"Holly"	"St"	"Goodyear"	"AZ"	"85395"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		2/10/11 0:00:00	1/13/11 0:00:00	32050578	"PebbleCreek"	3/26/12 0:00:00	31220
"MER01"	"MERNICPT70"	64.00	2470381	"N"		"Paid"	"1701  2201"	"882"	"E"	"Del Rio"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				9/9/11 0:00:00	9/30/11 0:00:00	32050580	"Nicholas Point"		31221
"MER01"	"MERNICPT70"	74.00	71470388	"N"		"Paid"	"1701  2201"	"889"	"E"	"Del Rio"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				12/23/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31223
"MER01"	"MERNICPT70"	73.00	80370380	"N"		"Paid"	"1701  2201"	"897"	"E"	"Del Rio"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				11/7/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31224
"MER01"	"MERNICPT70"	71.00	146270384	"N"		"Paid"	"1701  2201"	"913"	"E"	"Del Rio"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				11/7/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31225
"MER01"	"MERNICPT70"	68.00	180370380	"N"		"Paid"	"2443  2201"	"914"	"E"	"Del Rio"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				9/8/11 0:00:00	9/30/11 0:00:00	32050580	"Nicholas Point"		31227
"MER01"	"MERNICPT70"	89.00	218370381	"N"		"Paid"	"1701  2201"	"904"	"E"	"Jacob"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				12/7/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31228
"MER01"	"MERNICPT70"	10.00	228770383	"N"		"Paid"	"1701  2201"	"895"	"E"	"Jacob"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				11/16/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31230
"MER01"	"MERNICPT70"	41.00	251470386	"N"		"Paid"	"1807  2201"	"828"	"E"	"Harrison"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				12/5/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31231
"MER01"	"MERNICPT70"	11.00	257270380	"N"		"Paid"	"2443  2201"	"887"	"E"	"Jacob"	"St"	"Chandler"	"AZ"	"85225"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00				12/7/11 0:00:00	11/30/11 0:00:00	32050580	"Nicholas Point"		31232
"LEN01"	"LENHOR70"	9242.00	668697289	"N"	"N/A"	"Paid"	"4510"	"26827"	"N"	"54"	"Ln"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		9/16/11 0:00:00	9/19/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31288
"LEN01"	"LENSIG70"	2318.00	724308281	"N"	"N/A"	"Paid"	"457"	"5505"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		11/4/10 0:00:00	8/24/10 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31289
"LEN01"	"LENSIG70"	2319.00	337208288	"N"	"N/A"	"Paid"	"452"	"5509"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		1/4/11 0:00:00	11/5/10 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31290
"LEN01"	"LENSIG70"	2320.00	344797282	"N"	"N/A"	"Paid"	"452"	"5510"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/28/10 0:00:00	11/5/10 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31291
"LEN01"	"LENSIG70"	2321.00	947108280	"N"	"N/A"	"Paid"	"458"	"5506"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		3/18/11 0:00:00	3/18/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31292
"LEN01"	"LENSIG70"	2322.00	847108280	"N"	"N/A"	"Paid"	"457"	"5448"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		4/13/11 0:00:00	4/18/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31293
"LEN01"	"LENSIG70"	2323.00	785508283	"N"	"N/A"	"Paid"	"458"	"5444"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/20/11 0:00:00	5/20/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31294
"LEN01"	"LENSIG70"	2324.00	716108285	"N"	"N/A"	"Paid"	"457"	"5440"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		5/13/11 0:00:00	5/20/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31295
"LEN01"	"LENSIG70"	2326.00	544797282	"N"	"N/A"	"Paid"	"452"	"5432"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		6/11/11 0:00:00	6/10/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31296
"LEN01"	"LENSIG70"	2327.00	444797282	"N"	"N/A"	"Paid"	"457"	"5428"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		7/1/11 0:00:00	7/11/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31297
"LEN01"	"LENSIG70"	2328.00	360308286	"N"	"N/A"	"Paid"	"452"	"5424"	"W"	"Quail Track"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/11/11 0:00:00	8/22/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31298
"LEN01"	"LENSIG70"	2329.00	38997284	"N"	"N/A"	"Paid"	"452"	"5433"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		7/18/11 0:00:00	7/22/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31299
"LEN01"	"LENSIG70"	2330.00	231308286	"N"	"N/A"	"Paid"	"458"	"5437"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/12/11 0:00:00	10/14/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31300
"LEN01"	"LENSIG70"	2331.00	119997284	"N"	"N/A"	"Paid"	"457"	"5441"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/20/11 0:00:00	10/26/11 0:00:00	32050587	"Stetson Signatures"	3/26/12 0:00:00	31301
"LEN01"	"LENSIG70"	2332.00	338108280	"N"	"N/A"	"Paid"	"458"	"5445"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/28/11 0:00:00	10/26/11 0:00:00	32050588	"Stetson Signatures"	3/26/12 0:00:00	31302
"LEN01"	"LENSIG70"	2333.00	128208288	"N"	"N/A"	"Paid"	"452"	"5449"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		2/16/12 0:00:00	2/24/12 0:00:00	32050588	"Stetson Signatures"	3/26/12 0:00:00	31303
"LEN01"	"LENSIG70"	2334.00	407108285	"N"	"N/A"	"Paid"	"457"	"5507"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/7/11 0:00:00	12/14/11 0:00:00	32050588	"Stetson Signatures"	3/26/12 0:00:00	31304
"LEN01"	"LENSIG70"	2335.00	815797282	"N"	"N/A"	"Paid"	"452"	"5511"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		1/5/12 0:00:00	1/9/12 0:00:00	32050588	"Stetson Signatures"	3/26/12 0:00:00	31305
"LEN01"	"LENSIG70"	2336.00	331308286	"N"	"N/A"	"Paid"	"457"	"5450"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		11/16/11 0:00:00	12/1/11 0:00:00	32050588	"Stetson Signatures"	3/26/12 0:00:00	31306
"LEN01"	"LENSIG70"	2337.00	219997284	"N"	"N/A"	"Paid"	"457"	"5446"	"W"	"Desperado"	"Way"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		1/12/12 0:00:00	1/16/12 0:00:00	32050588	"Stetson Signatures"	3/26/12 0:00:00	31307
"LEN01"	"LENEST70"	3038.00	134858284	"N"	"N/A"	"Paid"	"5021"	"5752"	"W"	"Plum"	"Rd"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		10/27/11 0:00:00	11/10/11 0:00:00	32050588	"Stetson Estates"	3/26/12 0:00:00	31308
"LEN01"	"LENEST70"	3041.00	144858284	"N"	"N/A"	"Paid"	"5021"	"5740"	"W"	"Plum"	"Rd"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/15/10 0:00:00	10/19/10 0:00:00	32050588	"Stetson Estates"	3/26/12 0:00:00	31309
"LEN01"	"LENEST70"	3042.00	148168281	"N"	"N/A"	"Paid"	"6011"	"5736"	"W"	"Plum"	"Rd"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/2/10 0:00:00	12/13/10 0:00:00	32050588	"Stetson Estates"	3/26/12 0:00:00	31310
"LEN01"	"LENEST70"	3043.00	148458282	"N"	"N/A"	"Paid"	"6013"	"5732"	"W"	"Plum"	"Rd"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/29/10 0:00:00	11/8/10 0:00:00	32050588	"Stetson Estates"	3/26/12 0:00:00	31311
"LEN01"	"LENEST70"	3047.00	158458282	"N"	"N/A"	"Paid"	"6013"	"5737"	"W"	"Plum"	"Rd"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/27/10 0:00:00	11/4/10 0:00:00	32050588	"Stetson Estates"	3/26/12 0:00:00	31312
