Site	Street Number	Prefix	Street Name	Suffix	Site Modifier Full	Site Lot Number	Site City	Site State	Site Zip5	Initial Meter Set Date
454311384	1900	W	30	ST	APT 213		YUMA	ARIZONA	85364	10/29/2010 12:00:00 AM
454358283	7100	E	CAVE CREEK	RD	STE 116		CAVE CREEK	ARIZONA	85331	2/7/2012 12:00:00 AM
454389284	551	S	BINGHAM	DR		51	SOMERTON	ARIZONA	85350	11/9/2011 12:00:00 AM
454390383	253	N	8	AVE			HOLBROOK	ARIZONA	86025	4/6/2010 12:00:00 AM
454397288	18151	W	RUTH	AVE		13	WADDELL	ARIZONA	85355	5/24/2010 12:00:00 AM
454401281	15650	N	16	DR	TRLR 77		PHOENIX	ARIZONA	85023	8/23/2010 12:00:00 AM
454403388	16055	N	27	ST	QWEST		PHOENIX	ARIZONA	85032	7/31/2012 12:00:00 AM
454418287	6389	E	45	LN		722	YUMA	ARIZONA	85365	7/21/2010 12:00:00 AM
454569289	3400	S	AVENUE 7E		UNIT 239		YUMA	ARIZONA	85365	12/2/2010 12:00:00 AM
454586289	15629	W	DEVONSHIRE	AVE		204	GOODYEAR	ARIZONA	85395	6/10/2010 12:00:00 AM
454622383	1717	E	16	ST	SIGN B		YUMA	ARIZONA	85365	8/18/2011 12:00:00 AM
454631285	7525	E	GAINEY RANCH	RD	UNIT 175	175	SCOTTSDALE	ARIZONA	85258	8/14/2012 12:00:00 AM
454662282	16220	N	SCOTTSDALE	RD	TEMPY		SCOTTSDALE	ARIZONA	85254	12/19/2011 12:00:00 AM
454718281	11071	E	BENT TREE	DR		6	SCOTTSDALE	ARIZONA	85262	7/15/2010 12:00:00 AM
454812383	133	W	6	ST	UNIT 1440		TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
454817289	21389	N	77	LN		92	PEORIA	ARIZONA	85382	7/15/2010 12:00:00 AM
454835289	3114	W	LANGUID	LN		45	PHOENIX	ARIZONA	85086	12/14/2011 12:00:00 AM
454851381	997	E	PINE KNOLL	DR	HSE		FLAGSTAFF	ARIZONA	86001	1/6/2011 12:00:00 AM
454858284	5570	W	MINE	TRL		123	PHOENIX	ARIZONA	85083	7/16/2010 12:00:00 AM
454931385	1542	N	4	AVE	SPC 96		SAN LUIS	ARIZONA	85349	10/12/2010 12:00:00 AM
454941381	1660	E	MEDLOCK	DR	QWEST		PHOENIX	ARIZONA	85016	12/7/2010 12:00:00 AM
455040286	1850	E	GARDENIA	AVE	APT 169		PHOENIX	ARIZONA	85020	12/1/2011 12:00:00 AM
455109281	9579	W	ALBERT	LN		36	PEORIA	ARIZONA	85382	5/20/2011 12:00:00 AM
455118289	6310	E	46	PL		716	YUMA	ARIZONA	85365	8/9/2010 12:00:00 AM
455140280	7300	N	DREAMY DRAW	DR	APT 101		PHOENIX	ARIZONA	85020	10/12/2010 12:00:00 AM
455151389	2048	E	THOMAS	RD			PHOENIX	ARIZONA	85016	5/24/2011 12:00:00 AM
455168283	13783	S	176	DR		58	GOODYEAR	ARIZONA	85338	12/7/2010 12:00:00 AM
455200281	2306	E	CHRISTY	DR			PHOENIX	ARIZONA	85028	8/1/2012 12:00:00 AM
455201384	4008	N	HIGHWAY 87		STE B		PINE	ARIZONA	85544	4/16/2010 12:00:00 AM
455202389	2974	W	CLARENDON	AVE			PHOENIX	ARIZONA	85017	3/2/2012 12:00:00 AM
455210281	1215	S	9	AVE			YUMA	ARIZONA	85364	9/9/2010 12:00:00 AM
455270389	5816	E	JAKE HAVEN			328	CAVE CREEK	ARIZONA	85331	4/17/2012 12:00:00 AM
455281388	5223	N	CENTRAL	AVE	1 OF 3		PHOENIX	ARIZONA	85012	3/23/2011 12:00:00 AM
455287288	13077	W	CHUCKS	AVE		19	PEORIA	ARIZONA	85383	7/23/2010 12:00:00 AM
455297282	21320	N	56	ST	UNIT 2153		PHOENIX	ARIZONA	85054	6/28/2010 12:00:00 AM
455333289	8629	N	8	ST			PHOENIX	ARIZONA	85020	8/14/2012 12:00:00 AM
455438288	5108	N	191	DR		194	LITCHFIELD PARK	ARIZONA	85340	4/5/2011 12:00:00 AM
455509284	17707	W	CEDARWOOD	LN		29	GOODYEAR	ARIZONA	85338	10/14/2010 12:00:00 AM
455528287	22514	W	LOMA LINDA	BLVD		2126	BUCKEYE	ARIZONA	85326	6/9/2011 12:00:00 AM
455530280	13249	N	33	AVE			PHOENIX	ARIZONA	85029	5/9/2012 12:00:00 AM
455540284	8010	N	15	ST			PHOENIX	ARIZONA	85020	8/17/2011 12:00:00 AM
455540285	1406	E	NORTHERN	AVE			PHOENIX	ARIZONA	85020	8/26/2011 12:00:00 AM
455556281	4281	N	150	AVE		246	GOODYEAR	ARIZONA	85395	4/28/2010 12:00:00 AM
455589280	803	E	ARENA	ST		46	SAN LUIS	ARIZONA	85349	5/29/2012 12:00:00 AM
455640389	15257	N	SCOTTSDALE	RD	STE 160		SCOTTSDALE	ARIZONA	85254	2/7/2012 12:00:00 AM
455651284	1019	E	DESERT COVE	AVE		564	PHOENIX	ARIZONA	85020	3/8/2012 12:00:00 AM
455699289	12751	E	48	DR		88	YUMA	ARIZONA	85367	3/2/2012 12:00:00 AM
455732381	675	E	CAMELBACK	RD	TEMPY		PHOENIX	ARIZONA	85012	11/3/2011 12:00:00 AM
455741285	15020	N	40	ST	UNIT 25	25	PHOENIX	ARIZONA	85032	5/9/2011 12:00:00 AM
455761386	3263	N	163	DR		77	GOODYEAR	ARIZONA	85395	9/28/2011 12:00:00 AM
455768286	18394	W	LUNDBERG	ST		369	SURPRISE	ARIZONA	85388	8/16/2012 12:00:00 AM
455801286	20021	N	CAVE CREEK	RD	STE 7		PHOENIX	ARIZONA	85024	4/5/2011 12:00:00 AM
455822381	5537	W	BUCKSKIN	TRL	JSP5535	34	PHOENIX	ARIZONA	85083	6/26/2012 12:00:00 AM
455912386	13550	W	BEN JAFFE	BLVD			CONGRESS	ARIZONA	85332	5/3/2012 12:00:00 AM
455962386	570	S	WINDSOR	LN	APT 523		FLAGSTAFF	ARIZONA	86001	8/18/2012 12:00:00 AM
456012289	20837	N	8	ST		76	PHOENIX	ARIZONA	85024	2/17/2011 12:00:00 AM
456032384	3330	E	VAN BUREN	ST	UNIT 834		PHOENIX	ARIZONA	85008	11/2/2011 12:00:00 AM
456050383	405	W	14	ST		605	SOMERTON	ARIZONA	85350	6/3/2010 12:00:00 AM
456137282	18157	W	YOUNG	ST		92	SURPRISE	ARIZONA	85388	11/23/2011 12:00:00 AM
456150384	10001	N	11	AVE	APT 12		PHOENIX	ARIZONA	85021	10/19/2010 12:00:00 AM
456170386	3870	N	CIVIC	DR	UNIT 106		PRESCOTT VALLEY	ARIZONA	86314	8/3/2010 12:00:00 AM
456251281	4109	E	DESERT COVE	AVE		79	PHOENIX	ARIZONA	85028	5/3/2011 12:00:00 AM
456251386	9916	W	WIZARD	LN		15	PEORIA	ARIZONA	85383	4/8/2011 12:00:00 AM
456301289	1436	E	LE MARCHE	AVE			PHOENIX	ARIZONA	85022	1/4/2011 12:00:00 AM
456307282	34708	N	22	DR		22	PHOENIX	ARIZONA	85086	5/7/2012 12:00:00 AM
456330386	1709	W	BUCKHORN	TRL		36	PHOENIX	ARIZONA	85085	2/24/2010 12:00:00 AM
456431385	15833	N	164	DR	QWEST		SURPRISE	ARIZONA	85388	9/2/2010 12:00:00 AM
456512386	12628	N	22	PL	GRGE		PHOENIX	ARIZONA	85022	9/1/2011 12:00:00 AM
456521282	678	E	THUNDERBIRD	RD			PHOENIX	ARIZONA	85022	8/18/2010 12:00:00 AM
456530280	4001	W	WILLOW	AVE			PHOENIX	ARIZONA	85029	8/16/2010 12:00:00 AM
456530385	33893	S	GARRISON	LN	LOT 729		RED ROCK	ARIZONA	85145	7/19/2011 12:00:00 AM
456561389	431	E	2	AVE	TRLR 114		AJO	ARIZONA	85321	2/9/2011 12:00:00 AM
456629285	13048	W	RANCHO SANTA FE	BLVD	STE 113		AVONDALE	ARIZONA	85392	5/19/2011 12:00:00 AM
456781283	421	E	BART	DR		99	CHANDLER	ARIZONA	85225	5/12/2011 12:00:00 AM
456801289	17832	N	20	PL			PHOENIX	ARIZONA	85022	4/5/2011 12:00:00 AM
456889283	547	S	CHOLLA	AVE		103	SOMERTON	ARIZONA	85350	5/21/2010 12:00:00 AM
456912286	17722	N	79	AVE	APT 1163		GLENDALE	ARIZONA	85308	8/16/2012 12:00:00 AM
456932385	20435	N	7	ST	HP		PHOENIX	ARIZONA	85024	6/18/2012 12:00:00 AM
456971280	13823	N	42	LN		11	PHOENIX	ARIZONA	85053	6/15/2010 12:00:00 AM
456988281	7824	E	38	PL		115	YUMA	ARIZONA	85365	10/5/2010 12:00:00 AM
456995285	2439	W	LONG SHADOW	TRL		258	PHOENIX	ARIZONA	85085	7/18/2012 12:00:00 AM
457101386	4985	E	30	PL			YUMA	ARIZONA	85365	5/10/2010 12:00:00 AM
457150289	9010	N	9	ST	HSE		PHOENIX	ARIZONA	85020	4/15/2011 12:00:00 AM
457351382	14552	W	PARKWOOD	DR			SURPRISE	ARIZONA	85374	5/5/2011 12:00:00 AM
457359281	23768	W	CHICKASAW	ST		233	BUCKEYE	ARIZONA	85326	2/9/2012 12:00:00 AM
457418280	11663	E	25	PL		361	YUMA	ARIZONA	85367	8/26/2010 12:00:00 AM
457448282	20449	N	98	ST		17	SCOTTSDALE	ARIZONA	85255	5/24/2012 12:00:00 AM
457452383	6537	W	GEORGETOWN	WAY	LOT 122		FLORENCE	ARIZONA	85132	2/15/2012 12:00:00 AM
457452384	259	S	192	LN		310	BUCKEYE	ARIZONA	85326	5/23/2012 12:00:00 AM
457460282	807	E	COCHISE	DR	APT B		PHOENIX	ARIZONA	85020	11/2/2011 12:00:00 AM
457490280	17430	N	15	PL	REC		PHOENIX	ARIZONA	85022	4/6/2011 12:00:00 AM
457501387	2317	S	34	DR	APT 25		YUMA	ARIZONA	85364	5/19/2010 12:00:00 AM
457586280	225		KENDALL	CT		39	CHINO VALLEY	ARIZONA	86323	8/25/2011 12:00:00 AM
457611380	2323	N	27	AVE			PHOENIX	ARIZONA	85009	7/20/2010 12:00:00 AM
457677287	1336	E	JARDIN	DR	LOT 218		CASA GRANDE	ARIZONA	85122	9/14/2010 12:00:00 AM
457680383	629	N	1	ST	APT 3		PRESCOTT	ARIZONA	86301	2/5/2010 12:00:00 AM
457691383	2165		JACK BURDEN	RD			WICKENBURG	ARIZONA	85390	8/8/2011 12:00:00 AM
457720288	625	E	NORTHVIEW	AVE			PHOENIX	ARIZONA	85020	12/28/2011 12:00:00 AM
457738283	7594		QUAIL	AVE		65	GLENDALE	ARIZONA	85308	5/5/2010 12:00:00 AM
457770387	5404	W	PALMAIRE	AVE		1	GLENDALE	ARIZONA	85301	3/22/2010 12:00:00 AM
457886287	11926	W	COUNTRY CLUB	TRL		34	SUN CITY	ARIZONA	85373	8/19/2010 12:00:00 AM
457901282	17425	N	19	AVE	APT 2160		PHOENIX	ARIZONA	85023	8/2/2012 12:00:00 AM
458001389	914		CANTERBURY	LN	UNIT 2303		PRESCOTT	ARIZONA	86301	2/23/2011 12:00:00 AM
458008280	18004	W	DIANA	AVE		60	WADDELL	ARIZONA	85355	12/9/2011 12:00:00 AM
458008282	1155	E	CEDAR	ST		30	TEMPE	ARIZONA	85281	8/1/2012 12:00:00 AM
458009288	9575	W	ALBERT	LN		37	PEORIA	ARIZONA	85382	5/26/2011 12:00:00 AM
458021286	15428	N	23	AVE			PHOENIX	ARIZONA	85023	2/25/2010 12:00:00 AM
458041381	874	S	TC KERLEY	RD	HSE 2 STRY		TUBA CITY	ARIZONA	86045	12/23/2010 12:00:00 AM
458072388	570	S	WINDSOR	LN	APT 544		FLAGSTAFF	ARIZONA	86001	8/18/2012 12:00:00 AM
458121282	118	W	MARYLAND	AVE	UNIT 211		PHOENIX	ARIZONA	85013	12/23/2011 12:00:00 AM
458251384	156	N	ARIZONA	AVE	BRT STA		CHANDLER	ARIZONA	85225	11/19/2010 12:00:00 AM
458260285	11026	N	28	DR	APT 56		PHOENIX	ARIZONA	85029	8/10/2012 12:00:00 AM
458265287	17261	W	MAUI	LN		114	SURPRISE	ARIZONA	85388	2/24/2010 12:00:00 AM
458301282	19401	N	7	ST	TRLR 69		PHOENIX	ARIZONA	85024	3/7/2011 12:00:00 AM
458339282	4010	E	EXPEDITION	WAY		38	PHOENIX	ARIZONA	85050	2/23/2011 12:00:00 AM
458360281	1514	E	SIERRA	ST			PHOENIX	ARIZONA	85020	8/3/2011 12:00:00 AM
458390281	3602	W	TONTO	ST			PHOENIX	ARIZONA	85009	3/29/2012 12:00:00 AM
458458282	5564	W	MINE	TRL		124	PHOENIX	ARIZONA	85083	8/27/2010 12:00:00 AM
458468284	16776	N	183	LN		370	SURPRISE	ARIZONA	85388	6/28/2012 12:00:00 AM
458542380	1607		CLOUDSTONE			40	PRESCOTT	ARIZONA	86301	11/28/2011 12:00:00 AM
458551389	997	E	PINE KNOLL	DR	UNIT 1015		FLAGSTAFF	ARIZONA	86001	12/7/2010 12:00:00 AM
458602387	16422	W	COMMERCE	DR			GOODYEAR	ARIZONA	85338	10/13/2011 12:00:00 AM
458611389	29286	N	129	AVE		1950	PEORIA	ARIZONA	85383	5/9/2012 12:00:00 AM
458622383	9506	N	136	ST	NEWPATH		SCOTTSDALE	ARIZONA	85259	9/1/2011 12:00:00 AM
458628280	2435	N	RILEY	RD		1111	BUCKEYE	ARIZONA	85396	3/23/2012 12:00:00 AM
458701383	914		CANTERBURY	LN	UNIT 2304		PRESCOTT	ARIZONA	86301	2/23/2011 12:00:00 AM
458731282	1941	E	WINCHCOMB	DR		166	PHOENIX	ARIZONA	85022	3/30/2011 12:00:00 AM
458761383	405		GC PAIUTE	CIR			GRAND CANYON	ARIZONA	86023	6/30/2011 12:00:00 AM
458769287	3400	S	AVENUE 7E		SPC 204		YUMA	ARIZONA	85365	2/22/2011 12:00:00 AM
458769288	3400	S	AVENUE 7E		UNIT 282		YUMA	ARIZONA	85365	12/9/2010 12:00:00 AM
458794287	15261	W	SMOKEY	DR		45	SURPRISE	ARIZONA	85374	12/2/2011 12:00:00 AM
458828282	7592		CRYSTAL	RD		32	GLENDALE	ARIZONA	85308	4/2/2012 12:00:00 AM
458841381	15430	N	25	ST	UNIT 115		PHOENIX	ARIZONA	85032	11/4/2010 12:00:00 AM
458891383	12646	W	MEDLOCK	DR		716	LITCHFIELD PARK	ARIZONA	85340	6/10/2011 12:00:00 AM
458920388	620	W	TYSON	ST	SPC 43		QUARTZSITE	ARIZONA	85346	12/7/2010 12:00:00 AM
458952382	34975	N	NORTH VALLEY	PKWY	STE 122 1OF2		PHOENIX	ARIZONA	85086	3/22/2012 12:00:00 AM
458976281	17193	N	184	LN		69	SURPRISE	ARIZONA	85374	5/27/2010 12:00:00 AM
459012389	133	W	6	ST	UNIT 1530		TEMPE	ARIZONA	85281	8/11/2011 12:00:00 AM
459020280	1420	E	BETHANY HOME	RD	UNIT 12		PHOENIX	ARIZONA	85014	6/1/2010 12:00:00 AM
459032383	11600	S	FORTUNA	RD			YUMA	ARIZONA	85367	12/5/2011 12:00:00 AM
459060381	1619	W	BLAYLOCK	DR		130	PHOENIX	ARIZONA	85085	7/11/2012 12:00:00 AM
459089289	3858	E	SAN PEDRO	ST		68	SAN LUIS	ARIZONA	85349	1/28/2010 12:00:00 AM
459140389	19138	W	ADAMS	ST		181	BUCKEYE	ARIZONA	85326	1/25/2012 12:00:00 AM
459202284	47615	N	13	AVE	HSE 1		NEW RIVER	ARIZONA	85087	11/9/2011 12:00:00 AM
459288282	124	N	CALIFORNIA	ST	UNIT 2		CHANDLER	ARIZONA	85225	8/6/2010 12:00:00 AM
459290382	4102	S	CEDAR	AVE		48	YUMA	ARIZONA	85365	4/20/2010 12:00:00 AM
459301283	1538	W	WALTANN	LN			PHOENIX	ARIZONA	85023	8/10/2011 12:00:00 AM
459360285	839	E	IRONWOOD	DR			PHOENIX	ARIZONA	85020	6/10/2010 12:00:00 AM
459481386	4733	W	SWEET IRON	PASS		24	PHOENIX	ARIZONA	85083	4/19/2012 12:00:00 AM
459497284	21320	N	56	ST	UNIT 2119		PHOENIX	ARIZONA	85054	11/12/2010 12:00:00 AM
459521382	3330	E	VAN BUREN	ST	APT 312		PHOENIX	ARIZONA	85008	10/13/2010 12:00:00 AM
459522382	3330	E	VAN BUREN	ST	UNIT 727		PHOENIX	ARIZONA	85008	11/2/2011 12:00:00 AM
459610382	3663	E	ZACHARY	DR		56	PHOENIX	ARIZONA	85050	12/16/2010 12:00:00 AM
459631386	674	S	MAY	AVE	17A		YUMA	ARIZONA	85364	11/16/2010 12:00:00 AM
459687287	1826	S	160	LN		168	GOODYEAR	ARIZONA	85338	2/12/2010 12:00:00 AM
459750383	16451	E	DUFFERS	DR			MAYER	ARIZONA	86333	2/11/2010 12:00:00 AM
459761388	6711	E	EL SENDERO	RD	TEMPY		CAREFREE	ARIZONA	85377	1/21/2011 12:00:00 AM
459777285	9214	W	BUCKHORN	TRL		21	PEORIA	ARIZONA	85383	12/10/2010 12:00:00 AM
459880382	4136	S	SUNLIGHT	WAY		78	YUMA	ARIZONA	85365	4/8/2010 12:00:00 AM
459912286	1751	N	LITCHFIELD	RD	APT 2110		GOODYEAR	ARIZONA	85395	8/13/2012 12:00:00 AM
459956282	8550	N	CALLAHAN	RD		175	PRESCOTT	ARIZONA	86305	2/15/2012 12:00:00 AM
460040284	4614	E	DESERT COVE	AVE			PHOENIX	ARIZONA	85028	3/24/2011 12:00:00 AM
460130288	875	W	32	ST			YUMA	ARIZONA	85364	8/6/2010 12:00:00 AM
460149287	4308	E	KNUDSEN	DR		201	PHOENIX	ARIZONA	85050	5/24/2010 12:00:00 AM
460150384	15880	W	CACTUS	RD			SURPRISE	ARIZONA	85379	3/16/2010 12:00:00 AM
460160285	4309	N	11	AVE			PHOENIX	ARIZONA	85013	4/19/2012 12:00:00 AM
460197289	16774	W	HAMMOND	ST		16	GOODYEAR	ARIZONA	85338	6/4/2010 12:00:00 AM
460238289	21068		76	AVE	3636 JSP	75	GLENDALE	ARIZONA	85308	6/7/2012 12:00:00 AM
460250289	9641	N	7	PL	APT 7		PHOENIX	ARIZONA	85020	11/1/2011 12:00:00 AM
460291286	1530	E	CAPTAIN DREYFUS	AVE		125	PHOENIX	ARIZONA	85022	1/5/2012 12:00:00 AM
460297282	19427	W	JEFFERSON	ST		368	BUCKEYE	ARIZONA	85326	9/9/2011 12:00:00 AM
460302289	119	N	FLORENCE	ST	STE B		CASA GRANDE	ARIZONA	85122	7/6/2012 12:00:00 AM
460308282	16030	W	WILSHIRE	DR		289	GOODYEAR	ARIZONA	85395	2/8/2012 12:00:00 AM
460331387	3330	E	VAN BUREN	ST	APT 416		PHOENIX	ARIZONA	85008	10/26/2010 12:00:00 AM
460381384	3845	N	VIEWPOINT	DR	APT 101		PRESCOTT VALLEY	ARIZONA	86314	10/19/2011 12:00:00 AM
460397287	18184	W	IVY	LN	5591 JSP	46	SURPRISE	ARIZONA	85388	8/4/2012 12:00:00 AM
460412287	2042	E	CENTER	ST		1633	CHINO VALLEY	ARIZONA	86323	2/7/2012 12:00:00 AM
460431280	8940	N	8	ST	APT 207		PHOENIX	ARIZONA	85020	8/20/2010 12:00:00 AM
460438280	5225	N	191	DR		182	LITCHFIELD PARK	ARIZONA	85340	3/19/2010 12:00:00 AM
460460281	10001	N	7	ST	APT 204		PHOENIX	ARIZONA	85020	9/17/2010 12:00:00 AM
460460286	10001	N	7	ST	APT 263		PHOENIX	ARIZONA	85020	2/25/2011 12:00:00 AM
460478285	28012	N	15	DR		20	PHOENIX	ARIZONA	85085	8/10/2012 12:00:00 AM
460515281	3818	N	160	AVE		14	GOODYEAR	ARIZONA	85395	9/28/2011 12:00:00 AM
460547280	16214	W	CORONADO	RD		108	GOODYEAR	ARIZONA	85395	11/2/2011 12:00:00 AM
460600286	313		ESSEX	RD			KEARNY	ARIZONA	85137	3/18/2011 12:00:00 AM
460648285	3228	W	DANNIELLE	DR		21	FLAGSTAFF	ARIZONA	86001	4/4/2011 12:00:00 AM
460660384	29432	N	128	LN		2028	PEORIA	ARIZONA	85383	12/2/2010 12:00:00 AM
460662380	6478	E	CLIFTON	TER		1125	PRESCOTT VALLEY	ARIZONA	86314	4/9/2012 12:00:00 AM
460751383	3400	S	KOFA	DR	APT 178		FLAGSTAFF	ARIZONA	86001	11/23/2010 12:00:00 AM
460786286	3229	N	BLACK ROCK	RD		443	BUCKEYE	ARIZONA	85396	12/1/2010 12:00:00 AM
460788281	1150	S	CASTLE DOME	AVE	STE A		YUMA	ARIZONA	85365	5/17/2012 12:00:00 AM
460808286	2466	N	160	AVE		277	GOODYEAR	ARIZONA	85395	9/2/2011 12:00:00 AM
460857282	7188	W	MILTON	DR		12	PEORIA	ARIZONA	85383	5/11/2012 12:00:00 AM
460881280	820	E	BOSTON	ST		81	CHANDLER	ARIZONA	85225	5/6/2011 12:00:00 AM
460900286	16037	N	49	AVE			GLENDALE	ARIZONA	85306	8/11/2010 12:00:00 AM
461009282	25851	N	89	ST		36	SCOTTSDALE	ARIZONA	85255	3/16/2012 12:00:00 AM
461021380	10051	N	107	AVE	QWEST		SUN CITY	ARIZONA	85351	8/13/2010 12:00:00 AM
461061283	19828	N	45	AVE		89	GLENDALE	ARIZONA	85308	7/30/2012 12:00:00 AM
461091380	26823	N	89	DR	TEMPY	18	PEORIA	ARIZONA	85383	5/18/2011 12:00:00 AM
461120289	16425	N	51	DR			GLENDALE	ARIZONA	85306	12/21/2010 12:00:00 AM
461121286	612	W	OCOTILLO	RD	TEN CT		PHOENIX	ARIZONA	85013	12/15/2010 12:00:00 AM
461140283	13622	N	40	DR			PHOENIX	ARIZONA	85029	7/13/2011 12:00:00 AM
461201384	914		CANTERBURY	LN	UNIT 2306		PRESCOTT	ARIZONA	86301	2/23/2011 12:00:00 AM
461231280	37300	N	TOM DARLINGTON	DR	UNIT F		CAREFREE	ARIZONA	85377	2/17/2012 12:00:00 AM
461238287	3650	E	SINCLAIR	ST		63	PHOENIX	ARIZONA	85050	7/3/2012 12:00:00 AM
461252380	650	E	MORELOS	ST			CHANDLER	ARIZONA	85225	3/12/2012 12:00:00 AM
461314281	17687	W	SABRINA	DR		126	SURPRISE	ARIZONA	85374	1/27/2010 12:00:00 AM
461360389	104	N	CHURCH	LN			QUARTZSITE	ARIZONA	85346	12/20/2011 12:00:00 AM
461371380	131		BRADSHAW	DR	APT 108		PRESCOTT	ARIZONA	86303	3/24/2011 12:00:00 AM
461378284	5350	E	DEER VALLEY	RD	UNIT 1258		PHOENIX	ARIZONA	85054	7/12/2010 12:00:00 AM
461398283	124	N	CALIFORNIA	ST	UNIT 1		CHANDLER	ARIZONA	85225	8/9/2010 12:00:00 AM
461398286	26093	W	TONTO	LN		77	BUCKEYE	ARIZONA	85396	5/17/2010 12:00:00 AM
461412283	5303	N	7	ST	UNIT 129		PHOENIX	ARIZONA	85014	8/10/2012 12:00:00 AM
461472386	551	E	APACHE	BLVD	UNIT 3209		TEMPE	ARIZONA	85281	4/23/2012 12:00:00 AM
461509287	18431	W	WINDSONG	AVE		35	GOODYEAR	ARIZONA	85338	12/28/2011 12:00:00 AM
461568289	3599		WILLIAMSON VALLEY	RD			PRESCOTT	ARIZONA	86301	5/18/2010 12:00:00 AM
461609287	13212	S	208	DR			BUCKEYE	ARIZONA	85326	10/24/2011 12:00:00 AM
461671388	19020	N	CAMINO DEL SOL		QWEST		SUN CITY WEST	ARIZONA	85375	3/3/2011 12:00:00 AM
461682386	7864		LAKELAND	RD	WELL		SHOW LOW	ARIZONA	85901	5/29/2012 12:00:00 AM
461760286	1100	S	PAGENT	AVE			YUMA	ARIZONA	85364	7/27/2010 12:00:00 AM
461761280	20538	E	PARK VIEW	LN	CLK	2789	MAYER	ARIZONA	86333	6/28/2011 12:00:00 AM
461775282	10744	N	10	ST	UNIT 3		PHOENIX	ARIZONA	85020	1/25/2011 12:00:00 AM
461797285	6319	E	44	PL		504	YUMA	ARIZONA	85365	1/13/2011 12:00:00 AM
461828280	139	S	195	DR		23	BUCKEYE	ARIZONA	85326	10/19/2011 12:00:00 AM
461832384	20435	N	7	ST	UNIT 2084		PHOENIX	ARIZONA	85024	6/14/2012 12:00:00 AM
461847283	16211	W	CORONADO	RD		10	GOODYEAR	ARIZONA	85395	4/11/2012 12:00:00 AM
461887289	16372	W	CAMERON	DR		109	SURPRISE	ARIZONA	85388	7/2/2010 12:00:00 AM
461928284	21915	N	38	PL		142	PHOENIX	ARIZONA	85050	9/22/2011 12:00:00 AM
461987284	14419	W	MCDOWELL	RD	STE E108		GOODYEAR	ARIZONA	85395	9/17/2010 12:00:00 AM
462017284	16492	W	VIRGINIA	AVE		84	GOODYEAR	ARIZONA	85395	1/25/2010 12:00:00 AM
462051289	793	W	FOLLEY	ST		7	CHANDLER	ARIZONA	85225	4/27/2011 12:00:00 AM
462054288	6801	N	GLEN HARBOR		SOLAR2		GLENDALE	ARIZONA	85307	6/15/2011 12:00:00 AM
462061381	320	W	ERIE		APT A		HOLBROOK	ARIZONA	86025	12/17/2010 12:00:00 AM
462120285	6242	N	12	PL	UNIT 3		PHOENIX	ARIZONA	85014	10/27/2011 12:00:00 AM
462120288	1420	E	BETHANY HOME	RD	UNIT 27		PHOENIX	ARIZONA	85014	6/6/2011 12:00:00 AM
462197285	12051	W	RED HAWK	DR		55	PEORIA	ARIZONA	85383	11/30/2011 12:00:00 AM
462202380	13030	W	THUNDERBIRD	RD			EL MIRAGE	ARIZONA	85335	7/19/2011 12:00:00 AM
462241388	2480	W	HAPPY VALLEY	RD	STE 1205		PHOENIX	ARIZONA	85085	10/20/2010 12:00:00 AM
462291285	305	W	KELTON	LN		51	PHOENIX	ARIZONA	85023	8/31/2010 12:00:00 AM
462300286	6113	N	7	ST	STE D		PHOENIX	ARIZONA	85014	7/22/2011 12:00:00 AM
462301287	17825	N	7	ST	TRLR 86		PHOENIX	ARIZONA	85022	8/10/2012 12:00:00 AM
462331381	3330	E	VAN BUREN	ST	APT 333		PHOENIX	ARIZONA	85008	10/13/2010 12:00:00 AM
462362380	9705	E	MOUNTAIN VIEW	RD	UNIT 1066		SCOTTSDALE	ARIZONA	85258	4/30/2012 12:00:00 AM
462367283	11982	W	LONE TREE	TRL		91	PEORIA	ARIZONA	85383	6/3/2010 12:00:00 AM
462410284	14001	N	49	AVE			GLENDALE	ARIZONA	85306	10/13/2010 12:00:00 AM
462410288	14235	N	49	DR			GLENDALE	ARIZONA	85306	10/11/2011 12:00:00 AM
462428289	17026	W	GIBSON	LN		104	GOODYEAR	ARIZONA	85338	7/13/2011 12:00:00 AM
462451382	201	E	JEFFERSON	ST	PV		PHOENIX	ARIZONA	85004	4/29/2011 12:00:00 AM
462530280	3615	E	DESERT COVE	AVE			PHOENIX	ARIZONA	85028	5/3/2011 12:00:00 AM
462548286	1544	N	ANDREA	AVE		45	SOMERTON	ARIZONA	85350	5/17/2011 12:00:00 AM
462570382	6627	N	AZURITE	WAY			CASA GRANDE	ARIZONA	85194	5/27/2010 12:00:00 AM
462581383	5590		BROADWAY				SNOWFLAKE	ARIZONA	85937	3/9/2011 12:00:00 AM
462626287	14269	N	87	ST	STE 101 1OF2		SCOTTSDALE	ARIZONA	85260	2/15/2011 12:00:00 AM
462632383	4570	N	CENTRAL	AVE	APT 225		PHOENIX	ARIZONA	85012	10/5/2011 12:00:00 AM
462650284	3626	W	SIERRA	ST			PHOENIX	ARIZONA	85029	7/25/2012 12:00:00 AM
462662384	1030	N	CAMERON	ST			AJO	ARIZONA	85321	3/8/2012 12:00:00 AM
462681281	9245	E	TOPEKA	DR		101	SCOTTSDALE	ARIZONA	85255	8/9/2012 12:00:00 AM
