Brand Name,Outdoor Model Number,Indoor Model Number,"Capacity 17F (kBtuh)","Capacity 47F (kBtuh)",HSPF,"Cooling Capacity (kBtuh)",SEER,Motor HP,Ventilation Fan Watts
Fujitsu,AOU9RLS3H,ASU9RLS3,7,12,14,9,33,-,-
Fujitsu,AOU9RLS3H,ASU9RLS3Y,7,12,14,9,33,-,-
Fujitsu,AOUG09LMAS1,ASUG09LMAS,7.4,12,13,9,26.5,-,-
Goodman,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Heil,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Heil,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Janitrol,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Keeprite,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Keeprite,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Kenmore,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Kenmore,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Lennox,16HPX-048-230A**,CR33-50/60+TDR+TXV,30.4,44.5,9,47,16,-,-
Lennox,16HPX-048-230A**,CR33-60+TDR+TXV,30.4,44.5,9,47,16,-,-
Lennox,16HPX-048-230A**,L*42/60Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*42/60Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*43/61Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*43/61Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*48/60Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*48/60Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*49/62Y9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*49/62Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,L*49/63Z9,28.8,41,9,47,16,-,-
Lennox,16HPX-048-230A**,LD42/61Z9,28.8,42.5,9,47,16,-,-
Lennox,MLA018S4M,-,11.8,18,8.6,18,16.8,-,-
Lennox,MLA018S4M,-,12.6,20,9.8,19,21.5,-,-
Lennox,XP20-048-230A**,CBX32MV-048-230*+TDR,29,45,9.6,48,19.5,1,108.9
Lennox,XP20-048-230A**,CBX32MV-060-230*+TDR,27.2,44.5,9.6,48,19,-,-
Lennox,XP25-048-230-**,CBA38MV-060-230*+TDR,30,47,10.2,46.5,20,1/3,36.3
LG,LAU120HYV1,LAN120HYV1,7.1,12,12,11,25.5,-,-
LG,LSU090HSV5,LSN090HSV5,6.6,10.9,11.3,9,23.5,-,-
LG,LSU120HSV5,LAN120HSV5,8.2,13.6,11.4,12,22.7,-,-
LG,LSU120HSV5,LSN120HSV5,8.2,13.6,11.4,12,22.7,-,-
